Enter the principal amount (P): 500
Enter the daily interest rate (in %): 2
Enter the number of years: 1
Enter the number of months: 0
Enter the number of days: 0
Enter the daily reinvestment rate (as % of interest earned, e.g., 100 for 100%): 100

Daily Compounding Details:
Day 1 :510.0
Day 2 :520.2
Day 3 :530.604
Day 4 :541.21606
Day 5 :552.0404
Day 6 :563.08124
Day 7 :574.34283
Day 8 :585.8297
Day 9 :597.5463
Day 10 :609.49725
Day 11 :621.6872
Day 12 :634.1209
Day 13 :646.80334
Day 14 :659.73944
Day 15 :672.9342
Day 16 :686.3929
Day 17 :700.1207
Day 18 :714.12317
Day 19 :728.40564
Day 20 :742.97375
Day 21 :757.83325
Day 22 :772.9899
Day 23 :788.4497
Day 24 :804.2187
Day 25 :820.30304
Day 26 :836.7091
Day 27 :853.4433
Day 28 :870.51215
Day 29 :887.92236
Day 30 :905.6808
Day 31 :923.7944
Day 32 :942.27026
Day 33 :961.11566
Day 34 :980.33795
Day 35 :999.9447
Day 36 :1019.9436
Day 37 :1040.3425
Day 38 :1061.1494
Day 39 :1082.3724
Day 40 :1104.0199
Day 41 :1126.1003
Day 42 :1148.6223
Day 43 :1171.5947
Day 44 :1195.0266
Day 45 :1218.9271
Day 46 :1243.3057
Day 47 :1268.1718
Day 48 :1293.5352
Day 49 :1319.4059
Day 50 :1345.794
Day 51 :1372.7098
Day 52 :1400.1641
Day 53 :1428.1674
Day 54 :1456.7307
Day 55 :1485.8654
Day 56 :1515.5826
Day 57 :1545.8943
Day 58 :1576.8121
Day 59 :1608.3484
Day 60 :1640.5154
Day 61 :1673.3257
Day 62 :1706.7922
Day 63 :1740.9281
Day 64 :1775.7467
Day 65 :1811.2616
Day 66 :1847.4868
Day 67 :1884.4365
Day 68 :1922.1252
Day 69 :1960.5677
Day 70 :1999.779
Day 71 :2039.7747
Day 72 :2080.57
Day 73 :2122.1814
Day 74 :2164.625
Day 75 :2207.9175
Day 76 :2252.076
Day 77 :2297.1174
Day 78 :2343.0598
Day 79 :2389.921
Day 80 :2437.7192
